Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-10-14 00:00:00+05:30,529.0402908625562,540.9533762434978,521.1974854162019,524.4735717773438,932391,0.0,0.0
2022-10-17 00:00:00+05:30,517.2760824854112,525.8634557646277,514.1985596671374,520.0061645507812,184937,0.0,0.0
2022-10-18 00:00:00+05:30,527.1539992485469,529.6358919003762,517.4249921719925,519.6090698242188,210271,0.0,0.0
2022-10-19 00:00:00+05:30,520.2047067100053,521.1478380488023,506.50467120916,508.34124755859375,175519,0.0,0.0
2022-10-20 00:00:00+05:30,507.2988528437004,515.3401607161233,504.3702074258885,509.2347412109375,230320,0.0,0.0
2022-10-21 00:00:00+05:30,511.8158809528017,513.3546422494909,501.19339877990814,507.79522705078125,275863,0.0,0.0
2022-10-24 00:00:00+05:30,512.7590267499061,512.7590267499061,501.39194617768555,507.9938049316406,51551,0.0,0.0
2022-10-25 00:00:00+05:30,506.30611913870024,508.8376376157769,496.0807331649081,497.0238342285156,255742,0.0,0.0
2022-10-27 00:00:00+05:30,500.34954066862923,508.6887239170051,495.8325083228757,503.4270935058594,317557,0.0,0.0
2022-10-28 00:00:00+05:30,503.3278211491934,508.0930428402737,494.4426334895806,496.97418212890625,265126,0.0,0.0
2022-10-31 00:00:00+05:30,474.0414793699831,474.0414793699831,424.2547206326322,428.47393798828125,6384567,0.0,0.0
2022-11-01 00:00:00+05:30,433.83482940774576,434.8275864544454,417.9507166605514,422.0210266113281,3049513,0.0,0.0
2022-11-02 00:00:00+05:30,423.90724225787454,425.793474513063,418.0003259438621,420.73040771484375,938581,0.0,0.0
2022-11-03 00:00:00+05:30,417.95069904535615,422.66629481843324,408.51950749920206,413.28472900390625,1142584,0.0,0.0
2022-11-04 00:00:00+05:30,409.0158962700519,432.7924392519392,404.49886390316135,428.8214111328125,2500183,0.0,0.0
2022-11-07 00:00:00+05:30,428.821409615139,442.7696337155903,426.88552129530007,432.94134521484375,2627357,0.0,0.0
2022-11-09 00:00:00+05:30,437.5080406787812,438.7986127152097,421.9217429953939,423.9072570800781,570871,0.0,0.0
2022-11-10 00:00:00+05:30,425.29711051899193,428.37466340694783,415.46882186745694,420.9289855957031,490698,0.0,0.0
2022-11-11 00:00:00+05:30,431.30329143372245,454.18632820039437,425.8927536567632,442.0250549316406,1364971,0.0,0.0
2022-11-14 00:00:00+05:30,441.72725115896554,453.78924297434065,439.7913628382399,449.71893310546875,901052,0.0,0.0
2022-11-15 00:00:00+05:30,450.36423581953795,456.9660642328282,446.24430006511926,454.73236083984375,420296,0.0,0.0
2022-11-16 00:00:00+05:30,456.17185869153445,460.53998359684607,437.30947498067667,440.3373718261719,566127,0.0,0.0
2022-11-17 00:00:00+05:30,434.92685482043237,448.13051101618066,434.92685482043237,445.3011474609375,529179,0.0,0.0
2022-11-18 00:00:00+05:30,447.38592521204765,447.4355812387749,432.34566308371296,435.8203125,489385,0.0,0.0
2022-11-21 00:00:00+05:30,438.00442309694154,442.6703630595386,430.9558419742922,439.1460876464844,293127,0.0,0.0
2022-11-22 00:00:00+05:30,439.19571460999504,442.6703642988345,427.63010099073773,431.3033142089844,354565,0.0,0.0
2022-11-23 00:00:00+05:30,431.7997050653044,436.8627419478045,429.21853059201425,434.8772277832031,438066,0.0,0.0
2022-11-24 00:00:00+05:30,437.06129419793547,444.7551613871098,434.5794015562663,442.4718322753906,322205,0.0,0.0
2022-11-25 00:00:00+05:30,443.91131350072703,450.41389042430353,435.32397098753313,440.5855712890625,345020,0.0,0.0
2022-11-28 00:00:00+05:30,443.76240142221263,455.47692249550255,439.0468054339453,453.6899719238281,523569,0.0,0.0
2022-11-29 00:00:00+05:30,454.6827407241895,456.5193473737593,445.7479270418364,447.58453369140625,300847,0.0,0.0
2022-11-30 00:00:00+05:30,448.6765452839725,458.9019304252375,445.7478999695654,456.1222229003906,533485,0.0,0.0
2022-12-01 00:00:00+05:30,459.1005011236805,473.3465402818914,459.1005011236805,464.61029052734375,1049706,0.0,0.0
2022-12-02 00:00:00+05:30,463.1211511544833,468.9784115299266,457.9588025171035,466.89361572265625,358226,0.0,0.0
2022-12-05 00:00:00+05:30,468.5813203128505,472.552348451095,456.668235898117,461.23492431640625,692294,0.0,0.0
2022-12-06 00:00:00+05:30,458.65374470547766,462.17802001912236,450.4634992643084,453.09429931640625,313951,0.0,0.0
2022-12-07 00:00:00+05:30,451.7044752578724,454.4841829869963,441.18124406068824,443.4149475097656,362743,0.0,0.0
2022-12-08 00:00:00+05:30,445.2019086664885,451.257702399915,441.4294137199569,448.8750915527344,250141,0.0,0.0
