Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-10-14 00:00:00+05:30,4602.127228412721,4704.859929402846,4555.922521493787,4573.9873046875,259293,0.0,0.0
2022-10-17 00:00:00+05:30,4561.927773330662,4571.1586343599165,4364.204339159864,4387.18310546875,177719,0.0,0.0
2022-10-18 00:00:00+05:30,4421.972771154546,4430.906049480111,4238.3937076996435,4255.01953125,407048,0.0,0.0
2022-10-19 00:00:00+05:30,4273.035787337254,4354.4773222835765,4265.640823458781,4318.09912109375,206664,0.0,0.0
2022-10-20 00:00:00+05:30,4148.018618502475,4405.098499381188,4120.474345551184,4385.9912109375,1037194,0.0,0.0
2022-10-21 00:00:00+05:30,4407.084556340922,4480.2383834943075,4350.606475062444,4390.359375,329581,0.0,0.0
2022-10-24 00:00:00+05:30,4435.869007703074,4435.869007703074,4380.284164464906,4393.68408203125,14070,0.0,0.0
2022-10-25 00:00:00+05:30,4415.670294716741,4439.6411642480625,4371.748337531872,4415.72021484375,120480,0.0,0.0
2022-10-27 00:00:00+05:30,4431.898959913871,4477.5579413597925,4372.343766723539,4464.85302734375,100892,0.0,0.0
2022-10-28 00:00:00+05:30,4462.966494048746,4483.860730707855,4427.928384400779,4459.591796875,72446,0.0,0.0
2022-10-31 00:00:00+05:30,4481.478867953682,4531.15763125103,4466.639505066732,4518.005859375,92168,0.0,0.0
2022-11-01 00:00:00+05:30,4510.312904863856,4545.996582207682,4454.082978455341,4520.23876953125,148022,0.0,0.0
2022-11-02 00:00:00+05:30,4504.059358524684,4546.04556805067,4473.586763145059,4515.275390625,95223,0.0,0.0
2022-11-03 00:00:00+05:30,4512.29531014841,4537.534653954604,4461.6176927034485,4469.21923828125,109666,5.0,0.0
2022-11-04 00:00:00+05:30,4469.5665930995465,4502.9043179186365,4406.964837793795,4463.45556640625,107648,0.0,0.0
2022-11-07 00:00:00+05:30,4466.585829395353,4531.125456091521,4424.751858403682,4469.7158203125,180968,0.0,0.0
2022-11-09 00:00:00+05:30,4461.717082978697,4496.346884692368,4385.153843649884,4412.3310546875,139938,0.0,0.0
2022-11-10 00:00:00+05:30,4411.833923298943,4455.655250612636,4361.355239872102,4446.3642578125,113794,0.0,0.0
2022-11-11 00:00:00+05:30,4461.617083598028,4512.29469412442,4413.274714909331,4431.359375,113224,0.0,0.0
2022-11-14 00:00:00+05:30,4437.123920031009,4453.122246447314,4368.5101047833305,4429.96923828125,70142,0.0,0.0
2022-11-15 00:00:00+05:30,4426.938361097394,4441.595122874876,4380.235459162365,4426.68994140625,51530,0.0,0.0
2022-11-16 00:00:00+05:30,4413.920917261475,4491.427858176917,4410.790926301905,4470.2626953125,153540,0.0,0.0
2022-11-17 00:00:00+05:30,4474.4858325675705,4610.321423879283,4424.006661952809,4448.00390625,281721,0.0,0.0
2022-11-18 00:00:00+05:30,4451.382879127863,4459.232844193951,4239.331446261594,4271.47705078125,265784,0.0,0.0
2022-11-21 00:00:00+05:30,4263.428710449868,4312.367395128521,4233.121504709789,4275.40283203125,75469,0.0,0.0
2022-11-22 00:00:00+05:30,4295.325662772231,4318.826069872997,4243.008569834184,4260.39794921875,78381,0.0,0.0
2022-11-23 00:00:00+05:30,4260.3978841202315,4332.439597612644,4212.204461990825,4294.92822265625,142771,0.0,0.0
2022-11-24 00:00:00+05:30,4302.628697572643,4317.484387961991,4246.982691322281,4287.47509765625,87759,0.0,0.0
2022-11-25 00:00:00+05:30,4301.53558481166,4372.086771813299,4292.691941508136,4324.09228515625,75955,0.0,0.0
2022-11-28 00:00:00+05:30,4321.459396053258,4400.009507202192,4310.578419657432,4338.94775390625,145227,0.0,0.0
2022-11-29 00:00:00+05:30,4338.948004710616,4362.4983865365675,4262.882086041085,4271.8251953125,72081,0.0,0.0
2022-11-30 00:00:00+05:30,4256.522396719893,4341.3329751944875,4256.522396719893,4315.00048828125,94140,0.0,0.0
2022-12-01 00:00:00+05:30,4347.493461746769,4396.03476545215,4334.426683296176,4339.94140625,101640,0.0,0.0
2022-12-02 00:00:00+05:30,4340.437740205609,4396.928467288611,4307.5968556034895,4390.51953125,99209,0.0,0.0
